9.452901794625425680e+00,1.018332144398101136e+01,1.199074612765904391e+01,1.464091505523597192e+01,1.345211966622474975e+01,1.428717799595625060e+00,1.393199217560145975e+00
7.758377553202294052e+00,7.105553208462101367e+00,5.829622573003542030e+00,7.532769453457214937e+00,6.132316342853023627e+00,4.110796785827401933e-01,4.001571185231647121e-01
3.028136030447244664e+00,2.569260468145694531e+00,1.734190014330760032e+00,2.184833573793946826e+00,1.754425226249173519e+00,-1.750912419664496511e-02,-1.949904120067347257e-02
1.146363069920227407e+00,9.954067346846837694e-01,7.880254797229113706e-01,9.997701213334515558e-01,6.615457678632141736e-01,-2.635262886008735705e-01,-2.639930481365901915e-01
6.024149138818204463e-01,5.074886670813882894e-01,3.315693732004763028e-01,5.523076971655949130e-01,2.707189809371146616e-01,-4.435718255173546343e-01,-4.440115381776181813e-01
2.574225824126208373e-01,1.813769567981009523e-01,7.805833239151338532e-02,3.381962406643626018e-01,-1.015195669376800502e-02,-5.831453292644259712e-01,-5.839887279359519123e-01
-1.956447538353511817e-02,-8.222092889777088409e-02,3.077852550280457677e-02,2.280478701932646679e-01,-2.359873677321828733e-01,-6.900349529030314066e-01,-6.916858949884816532e-01
-2.449824994829306046e-01,-2.964192367761970814e-01,1.988591209730734555e-01,2.091042991002960427e-01,-4.116944016210941637e-01,-7.699763671768546924e-01,-7.731985188459107317e-01
-4.248663498820344220e-01,-4.670768359616128684e-01,-2.387813144023840373e-01,2.263578600652751405e-01,-5.328897579213285329e-01,-8.278040572496043747e-01,-8.340683546026466111e-01
-5.640784566671070976e-01,-5.996259804946377781e-01,3.223974789066734736e-01,9.063378744944428078e-02,-5.779595649864661677e-01,-8.669022168451558930e-01,-8.790250585383510007e-01
-6.670487522017631843e-01,-6.994996110329287919e-01,-6.143983536760468933e-01,-5.780700494423329783e-01,-4.874164535541829490e-01,-8.885647028047980456e-01,-9.118888010850840775e-01
-7.368500826639008405e-01,-7.714341168492775402e-01,-4.613618257055658312e-01,-4.634960575595195031e-01,-1.836394701223236225e-01,-8.910953853113106060e-01,-9.355968673290233628e-01
-7.736338120508965410e-01,-8.184614267492160700e-01,4.010744966151191804e-02,2.946788837877618583e-01,-6.229515327497492372e-02,-8.684937675482109487e-01,-9.522699708465682811e-01
-7.727457667805706087e-01,-8.406039664218452057e-01,-6.149877276458841635e-01,-9.623054315911483414e-02,-4.598443403032359544e-01,-8.091611438220638330e-01,-9.632469352167356558e-01
-7.231531138804156988e-01,-8.327391899780818285e-01,-8.914375703653349969e-01,-7.444743774731819030e-01,2.044812053222706538e-01,-6.974466351853536583e-01,-9.690165276328561728e-01
