9.886726632928128922e-01,2.356723713082056123e-29,1.110993526917603870e-02,4.171287674112248275e-31,2.121483888540711511e-04,2.006980378027522234e-31,5.102485936256885267e-06,1.380219088750047841e-30,1.455725378932876337e-07,1.359322942187523634e-30
2.824225394343471936e-29,9.642383477609552944e-01,7.477543701794494223e-30,3.455182783900521970e-02,1.659432509937839313e-30,1.166595470780990452e-03,7.820262154238652578e-32,4.155079097741370796e-05,9.957920793528723602e-32,1.606749769633362342e-06
1.110993526917598666e-02,5.029436181032312247e-30,9.144924759701393846e-01,8.437646628100070517e-29,7.040305665756672882e-02,7.339824185323244223e-30,3.793481459043676358e-03,3.887498911776827894e-31,1.907719947857401178e-04,1.467732308203946853e-31
4.950681659772219736e-31,3.455182783900510174e-02,9.898455281440214434e-29,8.381982802852815384e-01,1.182911641365788552e-29,1.171220242416538965e-01,2.612321274140096829e-30,9.435232761693810449e-03,4.738484249787990880e-31,6.470253886060476972e-04
2.121483888540709342e-04,1.883571670825386745e-30,7.040305665756638187e-02,1.696869205501399135e-29,7.365147255935000636e-01,1.185655285572165518e-29,1.711768403565568364e-01,2.373030245776946298e-30,1.973228159101414816e-02,1.944223663200328305e-31
1.363206706272279353e-31,1.166595470780984814e-03,8.586327990564088376e-30,1.171220242416533969e-01,1.593227901452632386e-29,6.136448472028095402e-01,1.634377734999243347e-29,2.269285049037264024e-01,3.502491986252019929e-30,3.632828355095320955e-02
5.102485936256877644e-06,8.708941752141965859e-32,3.793481459043678526e-03,3.700071324383291480e-30,1.711768403565562813e-01,2.017309870915651383e-29,4.771764274773274139e-01,2.019083227857755082e-29,2.769399539010482525e-01,5.614830897943823508e-31
1.403337913870823925e-30,4.155079097741448045e-05,5.271966011755176831e-31,9.435232761693786163e-03,3.480431177795817532e-30,2.269285049037258750e-01,2.023521129113022986e-29,3.378757035919469631e-01,7.307449268532039766e-30,3.128552978791335759e-01
1.455725378931962071e-07,1.387176350851005675e-31,1.907719947857420151e-04,5.093496642896715727e-31,1.973228159101405449e-02,5.833709555532757587e-30,2.769399539010476419e-01,7.279561418445461874e-30,2.087154162421526182e-01,8.216064351781648695e-30
1.395027470486292664e-30,1.606749769633707508e-06,1.427562149224235018e-31,6.470253886060517087e-04,5.390084131316005027e-31,3.632828355095300138e-02,2.285862426641316883e-30,3.128552978791327988e-01,5.563610638516884773e-30,1.030302110657029119e-01
