wavelength;unc;wavenumber;Int;DQ;D;J;Jn;decaywidth;lowerlevel;upperlevel;;
Wavelengths;Unc.;sigma;Int;D;D;J;J';Decay width;Lower Level;Upper Level;;
667.863;0.035;149731;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?8d ?2? ?3/2;;
669.449;0.015;149377;;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?9s ?1? ?3/2;;
671.587;0.015;148901;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?9s ?0? ?1/2;;
673.677;0.035;148439;;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?7d ?1? ?1/2,3/2 , ?2? ?3/2;;
675.918;0.035;147947;;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?7d ?1? ?1/2,3/2 , ?2? ?3/2;;
677.289;0.035;147647;;;;;;1.00E+08;6s 2 S 1/2;5p 5 6s? 3 P 0 ?7d ?2? ?3/2;;
680.991;0.015;146845;;;;;;1.00E+08;6s 2 S 1/2;5p 5 6s? 1 P 1 ?8s ?1? ?1/2;;
683.343;0.015;146339;;;;;;5.00E+08;6s 2 S 1/2;5p 5 6s? 1 P 1 ?8s ?1? ?3/2;;
685.572;0.015;145864;;;;;;3.00E+08;6s 2 S 1/2;5p 5 6s? 3 P 0 ?8s ?0? ?1/2;;
693.388;0.035;144219;;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?6d ?1? ?1/2,3/2 , ?2? ?3/2;;
701.463;0.035;142559;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?6d ?2? ?3/2;;
0.70363;0.035;142120;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?24d ?1? ?1/2,3/2 , ?2? ?3/2;;
703.755;0.035;142095;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?23d ?1? ?1/2,3/2 , ?2? ?3/2;;
703.901;0.035;142065;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?22d ?1? ?1/2,3/2 , ?2? ?3/2;;
704.055;0.035;142034;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?21d ?1? ?1/2,3/2 , ?2? ?3/2;;
704.244;0.035;141996;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?20d ?1? ?1/2,3/2 , ?2? ?3/2;;
704.47;0.035;141951;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?19d ?1? ?1/2,3/2 , ?2? ?3/2;;
704.71;0.015;141902;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?20s ?1? ?3/2;;
704.78;0.035;141888;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?18d ?1? ?1/2,3/2 , ?2? ?3/2;;
705.004;0.015;141843;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?19s ?1? ?3/2;;
705.123;0.035;141819;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?17d ?1? ?1/2,3/2 , ?2? ?3/2;;
705.384;0.015;141767;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?18s ?1? ?3/2;;
705.561;0.035;141731;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?16d ?1? ?1/2,3/2 , ?2? ?3/2;;
705.846;0.015;141674;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?17s ?1? ?3/2;;
706.025;0.035;141638;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?15d ?1? ?1/2,3/2 , ?2? ?3/2;;
706.387;0.015;141565;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?16s ?1? ?3/2;;
706.713;0.035;141500;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?14d ?1? ?1/2,3/2 , ?2? ?3/2;;
707.211;0.015;141401;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?15s ?1? ?3/2;;
707.599;0.035;141323;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?13d ?1? ?1/2,3/2 , ?2? ?3/2;;
708.202;0.015;141203;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?14s ?1? ?3/2;;
708.719;0.035;141100;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?12d ?1? ?1/2,3/2 , ?2? ?3/2;;
709.598;0.015;140925;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?13s ?1? ?3/2;;
